PaperID,CatID,CatID2,CatID3,CatID4,CatID_gen,Authors,Title,Location,PublicationType,PublishedDateMonth,PublishedDateYear,PDFLink,LocalPDFLink,PSLink,Abstract,RegisterDate,sortOrder,ProjectLink,OtherAuthors
1,1,5,6,2,NULL,"Y. Zhang, C. Bajaj, B. Sohn",3D Finite Element Meshing from Imaging Data,"Computer Methods in Applied Mechanics and Engineering (CMAME) on Unstructured Mesh Generation, 194, 48-49, 5083-5106, 2005,   <a href=http://dx.doi.org/10.1016/j.cma.2004.11.026>doi:10.1016/j.cma.2004.11.026</a>, <a href=http://tinyurl.com/PMC2748876>PMCID: PMC2748876</a>.",Journal Publications,0,2005,,,,,7/11/2012 16:16,1000,,"(with Y. Zhang, B. Sohn)"
2,2,8,2,2,NULL,"Y. Song, Y. Zhang, C. Bajaj, N. Baker",Continuum Diffusion Reaction Rate Calculations of Wild Type and Mutant Mouse Acetylcholinesterase: Adaptive Finite Element Analysis,"Biophysical Journal, 87(3):1558-1566, 2004, <a href=http://dx.doi.org/10.1529/biophysj.104.041517>doi: 10.1529/biophysj.104.041517</a>, <a href=http://tinyurl.com/PMC1304562>PMCID: PMC1304562</a>.",Journal Publications,0,2004,,http://cvcweb.ices.utexas.edu/cvc/papers/2004/journal/1558.pdf,,,7/11/2012 16:27,1000,,"(with Y. Song, Y. Zhang, N. Baker)"
3,2,8,2,2,NULL,"Y. Song, Y. Zhang, T. Shen, C. Bajaj, J. McCammon, N. Baker",Finite Element Solution of the Steady-State Smoluchowski Equation for Rate Constant Calculations,"Biophysical Journal, 86(4):2017-2029, 2004, <a href=http://dx.doi.org/10.1529/biophysj.106.102533>doi: 10.1529/biophysj.106.102533</a>, <a href=http://tinyurl.com/PMC1304055>PMCID: PMC1304055</a>.",Journal Publications,0,2004,,http://cvcweb.ices.utexas.edu/cvc/papers/2004/journal/2017.pdf,,,7/11/2012 16:29,1000,,"(with Y. Song, Y. Zhang, T. Shen, J. McCammon, N. Baker)"
412,6,1,3,NULL,NULL,"A. Rand, A. Gillette, and C. Bajaj",Interpolation error estimates for mean value coordinates,"Advanced in Computational Mathematics, 327-347, <a href=""http://arxiv.org/abs/1111.5588"">arXiv:1111.5588</a>, October, 2012, doi:10.1007/s10444-011-9218-z.",Journal Publications,10,2012,http://cvcweb.ices.utexas.edu/cvc/papers/2012/journal/MeanValueInterpolation.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2012/journal/MeanValueInterpolation.pdf,NULL,NULL,6/16/2014 9:58,1000,NULL,NULL
4,4,9,4,4,NULL,"B. Sohn, C. Bajaj, V. Siddavanahalli",Volumetric Video Compression and Interactive Playback,"Computer Vision and Image Understanding, special issue on ""Model-based and Image-based 3D Scene Representation for Interactive Visualization"", 96(3), Pages 435-452, 2004, <a href=http://dx.doi.org/10.1016/j.cviu.2004.03.010>doi: 10.1016/j.cviu.2004.03.010</a>, <a href=http://www.ncbi.nlm.nih.gov/pubmed/20072724>PMID: 20072724</a>.",Journal Publications,0,2004,,http://cvcweb.ices.utexas.edu/cvc/papers/2004/journal/sdarticle03.pdf,,,7/11/2012 16:30,1000,NULL,"(with B. Sohn, V. Siddavanahalli)"
410,6,1,3,2,NULL,"J. Edwards, W. Wang, and C. Bajaj",Surface segmentation for improved remeshing,"Proceedings of 21st International Meshing Roundtable, Springer, 2013, 4013-418",Conference Presentations & Publications,NULL,2013,http://cvcweb.ices.utexas.edu/cvc/papers/2013/conference/edwards2013imr.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2012/conference/edwards2012cvt.pdf,NULL,NULL,10/20/2014 11:30,900,NULL,NULL
409,2,6,NULL,NULL,NULL,"A. Gopinath, G. Xu, D. Ress, O. Oktem, S. Subramaniam, and C. Bajaj",Shape-based Regularization of Electron Tomographic Reconstruction,"IEEE Transactions on Medical Imaging, December, 2012, NIHMSID# 417205, 31(13):2241-2252, doi: 10.1109/TMI.2012.2214229.",Journal Publications,12,2012,http://cvcweb.ices.utexas.edu/cvc/papers/2012/journal/GopinathTMI2012.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2012/journal/GopinathTMI2012.pdf,NULL,NULL,6/16/2014 9:58,1000,NULL,NULL
5,5,2,5,5,NULL,"Y. Zhu, B. Carragher, R. Glaeser, D. Fellmann, C. Bajaj, M. Bern, F. Mouche, F. Haas, R. Hall, D. Kriegman, S. Ludtke, S. Mallick, P. Penczek, A. Roseman, F. Sigworth, N. Volkmann, C. Potter",Automatic Particle Selection: Results of a comparative study,"Journal of Structural Biology, Volume 145, 2004, Pages 3-14, <a href=http://dx.doi.org/10.1016/j.jsb.2003.09.033>doi: 10.1016/j.jsb.2003.09.033</a>, <a href=http://tinyurl.com/PMID15065668>PMID15065668</a>, PMC Journal In Process.",Journal Publications,0,2004,,http://cvcweb.ices.utexas.edu/cvc/papers/2004/journal/sdarticle01.pdf,,,7/11/2012 16:26,1000,,"(with Y. Zhu, B. Carragher, R. Glaeser, D. Fellmann, M. Bern, F. Mouche, F. Haas, R. Hall, D. Kriegman, S. Ludtke, S. Mallick, P. Penczek, A. Roseman, F. Sigworth, N. Volkmann, C. Potter)"
417,2,NULL,NULL,NULL,NULL,"C. Bajaj, B. Bauer, R.K. Bettadapura, A. Vollrath",Nonuniform Fourier Transforms for Rigid-Body and Multi-Dimensional Rotational Correlations,"SIAM Journal of Scientific Computing, vol 35 (4), B821-B845, 2013 <a href="" http://dx.doi.org/10.1137/120892386"">doi:10.1137/120892386</a>",Journal Publications,NULL,2013,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/Pf2Corr-r.pdf,NULL,NULL,NULL,10/23/2013 13:42,1000,NULL,NULL
419,3,2,4,5,NULL,"J. Edwards, E. Daniel, J. Kinney, T. Bartol, T. Sejnowski, D. Johnston, K. Harris, and C. Bajaj",VolRoverN: Enhancing surface and volumetric reconstruction for realistic dynamical simulation of cellular and subcellular function,"Neuroinformatics, 12(2): 277-289 (2014)  
<a href=""http://dx.doi.org/10.1007/s12021-013-9205-2"">doi:10.1007/s12021-013-9205-2</a>",Journal Publications,NULL,2014,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/VolRoverNpaper.pdf,http://cvcweb.ices.utexas.edu/cvc/papers/2013/journal/VolRoverNpaper.pdf,NULL,NULL,10/20/2014 11:24,1000,NULL,NULL
